Car_Id,Car_Name,Manufacture_Year,Selling_Price_Lakh,Present_Price_Lakh,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Usage_Level
101,Ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,Moderately used
102,Sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,Moderately used
103,Ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,Lightly used
104,Wagon R,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,Lightly used
105,Swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,Moderately used
106,Vitara Brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,Lightly used
107,Ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,Moderately used
108,S Cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,Moderately used
109,Ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,Moderately used
110,Ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,Moderately used
111,Alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,Lightly used
112,Ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,Heavily used
113,Ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,Moderately used
114,Ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,Moderately used
115,Dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,Heavily used
116,Ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,Moderately used
117,Ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,Moderately used
118,Wagon R,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,Moderately used
119,Sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,Moderately used
120,Alto K10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,Moderately used
121,Ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,Lightly used
122,Sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,Moderately used
123,Alto K10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,Moderately used
124,Wagon R,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,Heavily used
125,Swift,2011,3,4.99,20000,Petrol,Dealer,Manual,0,Moderately used
126,Swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,Heavily used
127,Swift,2017,6,6.49,16200,Petrol,Individual,Manual,0,Moderately used
128,Alto K10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,Moderately used
129,Ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,Moderately used
130,Ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,Heavily used
131,Ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,Heavily used
132,Swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,Moderately used
133,Ertiga,2014,6,9.95,45000,Diesel,Dealer,Manual,0,Moderately used
134,Dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,Moderately used
135,Sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,Moderately used
136,Dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,Moderately used
137,800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,Heavily used
138,Alto K10,2016,3,3.76,10079,Petrol,Dealer,Manual,0,Moderately used
139,Sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,Heavily used
140,Baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,Moderately used
141,Alto K10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,Moderately used
142,Sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,Heavily used
143,Dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,Moderately used
144,Omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,Moderately used
145,Ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,Moderately used
146,Ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,Heavily used
147,Wagon R,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,Heavily used
148,Ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,Moderately used
149,Ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,Moderately used
150,Fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,Heavily used
151,Fortuner,2015,23,30.61,40000,Diesel,Dealer,Automatic,0,Moderately used
152,Innova,2017,18,19.77,15000,Diesel,Dealer,Automatic,0,Moderately used
153,Fortuner,2013,16,30.61,135000,Diesel,Individual,Automatic,0,Heavily used
154,Innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,Heavily used
155,Corolla Altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,Heavily used
156,Etios Cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,Moderately used
157,Corolla Altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,Moderately used
158,Etios G,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,Moderately used
159,Fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,Moderately used
160,Corolla Altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,Moderately used
161,Etios Cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,Moderately used
162,Fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,Heavily used
163,Fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,Moderately used
164,Fortuner,2017,33,36.23,6000,Diesel,Dealer,Automatic,0,Lightly used
165,Etios Liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,Moderately used
166,Innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,Moderately used
167,Fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,Heavily used
168,Corolla Altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,Heavily used
169,Corolla Altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,Moderately used
170,Etios Liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,Heavily used
171,Corolla Altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,Moderately used
172,Corolla Altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,Heavily used
173,Etios Liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,Moderately used
174,Etios Cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,Heavily used
175,Etios G,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,Moderately used
176,Corolla Altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,Heavily used
177,Corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,Heavily used
178,Corolla Altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,Heavily used
179,Fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,Heavily used
180,Corolla Altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,Moderately used
181,Etios Gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,Moderately used
182,Innova,2017,23,25.39,15000,Diesel,Dealer,Automatic,0,Moderately used
183,Innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,Moderately used
184,Innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,Heavily used
185,Camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,Heavily used
186,Land Cruiser,2010,35,92.6,78000,Diesel,Dealer,Manual,0,Heavily used
187,Corolla Altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,Heavily used
188,Etios Liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,Moderately used
189,Etios G,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,Moderately used
190,Corolla Altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,Heavily used
191,Innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,Heavily used
192,Innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,Heavily used
193,Corolla Altis,2008,4,22.78,89000,Petrol,Dealer,Automatic,0,Heavily used
194,Corolla Altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,Heavily used
195,Innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,Moderately used
196,Corolla Altis,2017,17,18.64,8700,Petrol,Dealer,Manual,0,Lightly used
197,Corolla Altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,Moderately used
198,Fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,Heavily used
199,Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,Lightly used
200,Um Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,Lightly used
201,Ktm Rc200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,Lightly used
202,Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,Lightly used
203,Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,Lightly used
204,Ktm Rc390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,Moderately used
205,Hyosung Gt250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,Moderately used
206,Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,Moderately used
207,Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,Moderately used
208,Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,Moderately used
209,Ktm Rc200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,Lightly used
210,Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,Lightly used
211,Ktm 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,Lightly used
